category,category.keyword,currency,customer_first_name,customer_first_name.keyword,customer_full_name,customer_full_name.keyword,customer_gender,customer_id,customer_last_name,customer_last_name.keyword,customer_phone,day_of_week,day_of_week_i,email,event.dataset,geoip.city_name,geoip.continent_name,geoip.country_iso_code,geoip.location,geoip.region_name,manufacturer,manufacturer.keyword,order_date,order_id,products._id,products._id.keyword,products.base_price,products.base_unit_price,products.category,products.category.keyword,products.created_on,products.discount_amount,products.discount_percentage,products.manufacturer,products.manufacturer.keyword,products.min_price,products.price,products.product_id,products.product_name,products.product_name.keyword,products.quantity,products.sku,products.tax_amount,products.taxful_price,products.taxless_price,products.unit_discount_amount,sku,taxful_total_price,taxless_total_price,total_quantity,total_unique_products,type,user
"Men's Clothing, Men's Shoes","Men's Clothing, Men's Shoes",EUR,Oliver,Oliver,Oliver Phillips,Oliver Phillips,MALE,7,Phillips,Phillips,(empty),Saturday,5,oliver@phillips-family.zzz,sample_ecommerce,-,Europe,GB,"{
  ""coordinates"": [
    -0.1,
    51.5
  ],
  ""type"": ""Point""
}",-,Oceanavigations,Oceanavigations,"Sep 25, 2021 @ 02:43:41.000",572484,"sold_product_572484_11175, sold_product_572484_21234","sold_product_572484_11175, sold_product_572484_21234","$7.99, $75.00","$7.99, $75.00","Men's Clothing, Men's Shoes","Men's Clothing, Men's Shoes","Dec 17, 2016 @ 01:43:41.000, Dec 17, 2016 @ 01:43:41.000","0, 0","0, 0","Oceanavigations, Oceanavigations","Oceanavigations, Oceanavigations","$3.84, $36.75","$7.99, $75.00","11,175, 21,234","Bow tie - black, Lace-up boots - brown","Bow tie - black, Lace-up boots - brown","1, 1","ZO0276502765, ZO0257502575","0, 0","$7.99, $75.00","$7.99, $75.00","0, 0","ZO0276502765, ZO0257502575",$83 ,$83.00 ,2,2,order,oliver
"Women's Clothing, Women's Shoes","Women's Clothing, Women's Shoes",EUR,Rabbia Al,Rabbia Al,Rabbia Al Benson,Rabbia Al Benson,FEMALE,5,Benson,Benson,(empty),Saturday,5,rabbia al@benson-family.zzz,sample_ecommerce,Dubai,Asia,AE,"{
  ""coordinates"": [
    55.3,
    25.3
  ],
  ""type"": ""Point""
}",Dubai,"Pyramidustries, Oceanavigations","Pyramidustries, Oceanavigations","Sep 25, 2021 @ 02:42:14.000",725179,"sold_product_725179_21797, sold_product_725179_5646, sold_product_725179_18334, sold_product_725179_21250","sold_product_725179_21797, sold_product_725179_5646, sold_product_725179_18334, sold_product_725179_21250","$11.99, $34.00, $33.00, $60.00","$11.99, $34.00, $33.00, $60.00","Women's Clothing, Women's Shoes, Women's Shoes, Women's Shoes","Women's Clothing, Women's Shoes, Women's Shoes, Women's Shoes","Dec 17, 2016 @ 01:42:14.000, Dec 17, 2016 @ 01:42:14.000, Dec 17, 2016 @ 01:42:14.000, Dec 17, 2016 @ 01:42:14.000","0, 0, 0, 0","0, 0, 0, 0","Pyramidustries, Pyramidustries, Pyramidustries, Oceanavigations","Pyramidustries, Pyramidustries, Pyramidustries, Oceanavigations","$6.01, $17.33, $17.16, $30.02","$11.99, $34.00, $33.00, $60.00","21,797, 5,646, 18,334, 21,250","Print T-shirt - white, Ankle boots - black, Ankle boots - cognac, Ballet pumps - Aquamarine","Print T-shirt - white, Ankle boots - black, Ankle boots - cognac, Ballet pumps - Aquamarine","1, 1, 1, 1","ZO0168501685, ZO0142301423, ZO0143001430, ZO0236102361","0, 0, 0, 0","$11.99, $34.00, $33.00, $60.00","$11.99, $34.00, $33.00, $60.00","0, 0, 0, 0","ZO0168501685, ZO0142301423, ZO0143001430, ZO0236102361",$139 ,$139.00 ,4,4,order,rabbia
Men's Clothing,Men's Clothing,EUR,Robbie,Robbie,Robbie Martin,Robbie Martin,MALE,48,Martin,Martin,(empty),Saturday,5,robbie@martin-family.zzz,sample_ecommerce,Dubai,Asia,AE,"{
  ""coordinates"": [
    55.3,
    25.3
  ],
  ""type"": ""Point""
}",Dubai,"Elitelligence, Low Tide Media","Elitelligence, Low Tide Media","Sep 25, 2021 @ 02:37:55.000",572474,"sold_product_572474_14824, sold_product_572474_13030","sold_product_572474_14824, sold_product_572474_13030","$20.98, $24.98","$20.98, $24.98","Men's Clothing, Men's Clothing","Men's Clothing, Men's Clothing","Dec 17, 2016 @ 01:37:55.000, Dec 17, 2016 @ 01:37:55.000","0, 0","0, 0","Elitelligence, Low Tide Media","Elitelligence, Low Tide Media","$10.29, $12.99","$20.98, $24.98","14,824, 13,030","Shirt - red, Jumper - grey - blue","Shirt - red, Jumper - grey - blue","1, 1","ZO0524605246, ZO0449704497","0, 0","$20.98, $24.98","$20.98, $24.98","0, 0","ZO0524605246, ZO0449704497",$45.97 ,$45.97 ,2,2,order,robbie
"Men's Clothing, Men's Accessories","Men's Clothing, Men's Accessories",EUR,Fitzgerald,Fitzgerald,Fitzgerald Benson,Fitzgerald Benson,MALE,11,Benson,Benson,(empty),Saturday,5,fitzgerald@benson-family.zzz,sample_ecommerce,Los Angeles,North America,US,"{
  ""coordinates"": [
    -118.2,
    34.1
  ],
  ""type"": ""Point""
}",California,"Spritechnologies, Elitelligence","Spritechnologies, Elitelligence","Sep 25, 2021 @ 02:10:34.000",572448,"sold_product_572448_24459, sold_product_572448_20769","sold_product_572448_24459, sold_product_572448_20769","$42.00, $10.99","$42.00, $10.99","Men's Clothing, Men's Accessories","Men's Clothing, Men's Accessories","Dec 17, 2016 @ 01:10:34.000, Dec 17, 2016 @ 01:10:34.000","0, 0","0, 0","Spritechnologies, Elitelligence","Spritechnologies, Elitelligence","$21.83, $5.82","$42.00, $10.99","24,459, 20,769","Soft shell jacket - black, Belt - black ","Soft shell jacket - black, Belt - black ","1, 1","ZO0625906259, ZO0598405984","0, 0","$42.00, $10.99","$42.00, $10.99","0, 0","ZO0625906259, ZO0598405984",$52.97 ,$52.97 ,2,2,order,fuzzy
Men's Clothing,Men's Clothing,EUR,Yuri,Yuri,Yuri Evans,Yuri Evans,MALE,21,Evans,Evans,(empty),Saturday,5,yuri@evans-family.zzz,sample_ecommerce,Cannes,Europe,FR,"{
  ""coordinates"": [
    7,
    43.6
  ],
  ""type"": ""Point""
}",Alpes-Maritimes,"Low Tide Media, Microlutions","Low Tide Media, Microlutions","Sep 25, 2021 @ 02:09:07.000",572445,"sold_product_572445_18242, sold_product_572445_17752","sold_product_572445_18242, sold_product_572445_17752","$37.00, $37.00","$37.00, $37.00","Men's Clothing, Men's Clothing","Men's Clothing, Men's Clothing","Dec 17, 2016 @ 01:09:07.000, Dec 17, 2016 @ 01:09:07.000","0, 0","0, 0","Low Tide Media, Microlutions","Low Tide Media, Microlutions","$17.02, $17.39","$37.00, $37.00","18,242, 17,752","Jumper - dark blue, Slim fit jeans - black denim","Jumper - dark blue, Slim fit jeans - black denim","1, 1","ZO0451004510, ZO0113801138","0, 0","$37.00, $37.00","$37.00, $37.00","0, 0","ZO0451004510, ZO0113801138",$74 ,$74.00 ,2,2,order,yuri
Women's Clothing,Women's Clothing,EUR,Elyssa,Elyssa,Elyssa Bryan,Elyssa Bryan,FEMALE,27,Bryan,Bryan,(empty),Saturday,5,elyssa@bryan-family.zzz,sample_ecommerce,New York,North America,US,"{
  ""coordinates"": [
    -74,
    40.8
  ],
  ""type"": ""Point""
}",New York,"Pyramidustries active, Spherecords","Pyramidustries active, Spherecords","Sep 25, 2021 @ 02:01:55.000",572434,"sold_product_572434_8652, sold_product_572434_14441","sold_product_572434_8652, sold_product_572434_14441","$22.98, $10.99","$22.98, $10.99","Women's Clothing, Women's Clothing","Women's Clothing, Women's Clothing","Dec 17, 2016 @ 01:01:55.000, Dec 17, 2016 @ 01:01:55.000","0, 0","0, 0","Pyramidustries active, Spherecords","Pyramidustries active, Spherecords","$11.04, $5.71","$22.98, $10.99","8,652, 14,441","Tracksuit bottoms - black, Long sleeved top - beige multicolor","Tracksuit bottoms - black, Long sleeved top - beige multicolor","1, 1","ZO0224102241, ZO0644906449","0, 0","$22.98, $10.99","$22.98, $10.99","0, 0","ZO0224102241, ZO0644906449",$33.97 ,$33.97 ,2,2,order,elyssa
Men's Clothing,Men's Clothing,EUR,Abd,Abd,Abd Love,Abd Love,MALE,52,Love,Love,(empty),Saturday,5,abd@love-family.zzz,sample_ecommerce,Cairo,Africa,EG,"{
  ""coordinates"": [
    31.3,
    30.1
  ],
  ""type"": ""Point""
}",Cairo Governorate,"Low Tide Media, Oceanavigations","Low Tide Media, Oceanavigations","Sep 25, 2021 @ 01:54:43.000",572426,"sold_product_572426_15934, sold_product_572426_17485","sold_product_572426_15934, sold_product_572426_17485","$22.98, $60.00","$22.98, $60.00","Men's Clothing, Men's Clothing","Men's Clothing, Men's Clothing","Dec 17, 2016 @ 00:54:43.000, Dec 17, 2016 @ 00:54:43.000","0, 0","0, 0","Low Tide Media, Oceanavigations","Low Tide Media, Oceanavigations","$10.35, $31.80","$22.98, $60.00","15,934, 17,485","Shirt - light blue/white, Bomber Jacket - navy","Shirt - light blue/white, Bomber Jacket - navy","1, 1","ZO0412804128, ZO0286702867","0, 0","$22.98, $60.00","$22.98, $60.00","0, 0","ZO0412804128, ZO0286702867",$83 ,$83.00 ,2,2,order,abd
"Women's Accessories, Women's Shoes","Women's Accessories, Women's Shoes",EUR,Stephanie,Stephanie,Stephanie Hodges,Stephanie Hodges,FEMALE,6,Hodges,Hodges,(empty),Saturday,5,stephanie@hodges-family.zzz,sample_ecommerce,Cannes,Europe,FR,"{
  ""coordinates"": [
    7,
    43.6
  ],
  ""type"": ""Point""
}",Alpes-Maritimes,"Pyramidustries, Tigress Enterprises","Pyramidustries, Tigress Enterprises","Sep 25, 2021 @ 01:48:58.000",572422,"sold_product_572422_17576, sold_product_572422_20747","sold_product_572422_17576, sold_product_572422_20747","$21.98, $16.98","$21.98, $16.98","Women's Accessories, Women's Shoes","Women's Accessories, Women's Shoes","Dec 17, 2016 @ 00:48:58.000, Dec 17, 2016 @ 00:48:58.000","0, 0","0, 0","Pyramidustries, Tigress Enterprises","Pyramidustries, Tigress Enterprises","$10.99, $8.83","$21.98, $16.98","17,576, 20,747","Across body bag - cognac , Trainers - pink","Across body bag - cognac , Trainers - pink","1, 1","ZO0198401984, ZO0027900279","0, 0","$21.98, $16.98","$21.98, $16.98","0, 0","ZO0198401984, ZO0027900279",$38.97 ,$38.97 ,2,2,order,stephanie
"Men's Shoes, Men's Clothing","Men's Shoes, Men's Clothing",EUR,Yahya,Yahya,Yahya Goodwin,Yahya Goodwin,MALE,23,Goodwin,Goodwin,(empty),Saturday,5,yahya@goodwin-family.zzz,sample_ecommerce,Marrakesh,Africa,MA,"{
  ""coordinates"": [
    -8,
    31.6
  ],
  ""type"": ""Point""
}",Marrakech-Tensift-Al Haouz,Low Tide Media,Low Tide Media,"Sep 25, 2021 @ 01:33:07.000",572410,"sold_product_572410_22777, sold_product_572410_23296","sold_product_572410_22777, sold_product_572410_23296","$65.00, $24.98","$65.00, $24.98","Men's Shoes, Men's Clothing","Men's Shoes, Men's Clothing","Dec 17, 2016 @ 00:33:07.000, Dec 17, 2016 @ 00:33:07.000","0, 0","0, 0","Low Tide Media, Low Tide Media","Low Tide Media, Low Tide Media","$33.78, $11.50","$65.00, $24.98","22,777, 23,296","Lace-ups - cognac, SLIM FIT - Formal shirt - khaki","Lace-ups - cognac, SLIM FIT - Formal shirt - khaki","1, 1","ZO0387203872, ZO0422604226","0, 0","$65.00, $24.98","$65.00, $24.98","0, 0","ZO0387203872, ZO0422604226",$90 ,$90.00 ,2,2,order,yahya
"Women's Accessories, Women's Clothing","Women's Accessories, Women's Clothing",EUR,Mary,Mary,Mary Fleming,Mary Fleming,FEMALE,20,Fleming,Fleming,(empty),Saturday,5,mary@fleming-family.zzz,sample_ecommerce,Dubai,Asia,AE,"{
  ""coordinates"": [
    55.3,
    25.3
  ],
  ""type"": ""Point""
}",Dubai,"Pyramidustries, Spherecords","Pyramidustries, Spherecords","Sep 25, 2021 @ 01:30:14.000",572407,"sold_product_572407_19053, sold_product_572407_16998","sold_product_572407_19053, sold_product_572407_16998","$16.98, $11.99","$16.98, $11.99","Women's Accessories, Women's Clothing","Women's Accessories, Women's Clothing","Dec 17, 2016 @ 00:30:14.000, Dec 17, 2016 @ 00:30:14.000","0, 0","0, 0","Pyramidustries, Spherecords","Pyramidustries, Spherecords","$8.66, $6.35","$16.98, $11.99","19,053, 16,998","Handbag - cognac, Long sleeved top - red/white","Handbag - cognac, Long sleeved top - red/white","1, 1","ZO0196601966, ZO0645606456","0, 0","$16.98, $11.99","$16.98, $11.99","0, 0","ZO0196601966, ZO0645606456",$28.98 ,$28.98 ,2,2,order,mary
"Men's Shoes, Men's Clothing","Men's Shoes, Men's Clothing",EUR,Marwan,Marwan,Marwan Gross,Marwan Gross,MALE,51,Gross,Gross,(empty),Saturday,5,marwan@gross-family.zzz,sample_ecommerce,Marrakesh,Africa,MA,"{
  ""coordinates"": [
    -8,
    31.6
  ],
  ""type"": ""Point""
}",Marrakech-Tensift-Al Haouz,"(empty), Elitelligence","(empty), Elitelligence","Sep 25, 2021 @ 01:20:10.000",572397,"sold_product_572397_15974, sold_product_572397_21305","sold_product_572397_15974, sold_product_572397_21305","$155.00, $7.99","$155.00, $7.99","Men's Shoes, Men's Clothing","Men's Shoes, Men's Clothing","Dec 17, 2016 @ 00:20:10.000, Dec 17, 2016 @ 00:20:10.000","0, 0","0, 0","(empty), Elitelligence","(empty), Elitelligence","$83.69, $4.07","$155.00, $7.99","15,974, 21,305","Smart slip-ons - brown, Basic T-shirt - bordeaux","Smart slip-ons - brown, Basic T-shirt - bordeaux","1, 1","ZO0482904829, ZO0551305513","0, 0","$155.00, $7.99","$155.00, $7.99","0, 0","ZO0482904829, ZO0551305513",$163 ,$163.00 ,2,2,order,marwan
"Women's Accessories, Men's Clothing","Women's Accessories, Men's Clothing",EUR,Youssef,Youssef,Youssef Lambert,Youssef Lambert,MALE,31,Lambert,Lambert,(empty),Saturday,5,youssef@lambert-family.zzz,sample_ecommerce,New York,North America,US,"{
  ""coordinates"": [
    -74,
    40.8
  ],
  ""type"": ""Point""
}",New York,"Microlutions, Elitelligence","Microlutions, Elitelligence","Sep 25, 2021 @ 01:17:17.000",572393,"sold_product_572393_16810, sold_product_572393_22194","sold_product_572393_16810, sold_product_572393_22194","$33.00, $14.99","$33.00, $14.99","Women's Accessories, Men's Clothing","Women's Accessories, Men's Clothing","Dec 17, 2016 @ 00:17:17.000, Dec 17, 2016 @ 00:17:17.000","0, 0","0, 0","Microlutions, Elitelligence","Microlutions, Elitelligence","$17.48, $7.79","$33.00, $14.99","16,810, 22,194","Weekend bag - black, Long sleeved top - multicoloured/black","Weekend bag - black, Long sleeved top - multicoloured/black","1, 1","ZO0128401284, ZO0563405634","0, 0","$33.00, $14.99","$33.00, $14.99","0, 0","ZO0128401284, ZO0563405634",$47.97 ,$47.97 ,2,2,order,youssef
"Men's Clothing, Men's Shoes","Men's Clothing, Men's Shoes",EUR,Frances,Frances,Frances Mccarthy,Frances Mccarthy,FEMALE,49,Mccarthy,Mccarthy,(empty),Saturday,5,frances@mccarthy-family.zzz,sample_ecommerce,Cannes,Europe,FR,"{
  ""coordinates"": [
    7,
    43.6
  ],
  ""type"": ""Point""
}",Alpes-Maritimes,"Oceanavigations, Low Tide Media","Oceanavigations, Low Tide Media","Sep 25, 2021 @ 01:11:31.000",572386,"sold_product_572386_15772, sold_product_572386_16369","sold_product_572386_15772, sold_product_572386_16369","$11.99, $60.00","$11.99, $60.00","Men's Clothing, Men's Shoes","Men's Clothing, Men's Shoes","Dec 17, 2016 @ 00:11:31.000, Dec 17, 2016 @ 00:11:31.000","0, 0","0, 0","Oceanavigations, Low Tide Media","Oceanavigations, Low Tide Media","$6.23, $30.59","$11.99, $60.00","15,772, 16,369","Print T-shirt - white, Slip-ons - cognac","Print T-shirt - white, Slip-ons - cognac","1, 1","ZO0294502945, ZO0397203972","0, 0","$11.99, $60.00","$11.99, $60.00","0, 0","ZO0294502945, ZO0397203972",$72 ,$72.00 ,2,2,order,frances
Women's Clothing,Women's Clothing,EUR,Mary,Mary,Mary Allison,Mary Allison,FEMALE,20,Allison,Allison,(empty),Saturday,5,mary@allison-family.zzz,sample_ecommerce,Dubai,Asia,AE,"{
  ""coordinates"": [
    55.3,
    25.3
  ],
  ""type"": ""Point""
}",Dubai,"Gnomehouse, Tigress Enterprises","Gnomehouse, Tigress Enterprises","Sep 25, 2021 @ 00:54:14.000",572360,"sold_product_572360_24000, sold_product_572360_18582","sold_product_572360_24000, sold_product_572360_18582","$28.98, $28.98","$28.98, $28.98","Women's Clothing, Women's Clothing","Women's Clothing, Women's Clothing","Dec 16, 2016 @ 23:54:14.000, Dec 16, 2016 @ 23:54:14.000","0, 0","0, 0","Gnomehouse, Tigress Enterprises","Gnomehouse, Tigress Enterprises","$13.34, $13.05","$28.98, $28.98","24,000, 18,582","Print T-shirt - Pale Violet Red, Shift dress - black","Print T-shirt - Pale Violet Red, Shift dress - black","1, 1","ZO0349903499, ZO0046300463","0, 0","$28.98, $28.98","$28.98, $28.98","0, 0","ZO0349903499, ZO0046300463",$57.97 ,$57.97 ,2,2,order,mary
"Women's Clothing, Women's Shoes","Women's Clothing, Women's Shoes",EUR,Selena,Selena,Selena Richards,Selena Richards,FEMALE,42,Richards,Richards,(empty),Saturday,5,selena@richards-family.zzz,sample_ecommerce,Marrakesh,Africa,MA,"{
  ""coordinates"": [
    -8,
    31.6
  ],
  ""type"": ""Point""
}",Marrakech-Tensift-Al Haouz,"Pyramidustries, Tigress Enterprises","Pyramidustries, Tigress Enterprises","Sep 25, 2021 @ 00:51:22.000",572355,"sold_product_572355_17749, sold_product_572355_15386","sold_product_572355_17749, sold_product_572355_15386","$17.98, $24.98","$17.98, $24.98","Women's Clothing, Women's Shoes","Women's Clothing, Women's Shoes","Dec 16, 2016 @ 23:51:22.000, Dec 16, 2016 @ 23:51:22.000","0, 0","0, 0","Pyramidustries, Tigress Enterprises","Pyramidustries, Tigress Enterprises","$9.53, $11.25","$17.98, $24.98","17,749, 15,386","Long sleeved top - grey multicolor, Lace-ups - black","Long sleeved top - grey multicolor, Lace-ups - black","1, 1","ZO0165201652, ZO0008000080","0, 0","$17.98, $24.98","$17.98, $24.98","0, 0","ZO0165201652, ZO0008000080",$42.97 ,$42.97 ,2,2,order,selena
"Men's Clothing, Men's Shoes","Men's Clothing, Men's Shoes",EUR,Irwin,Irwin,Irwin Garza,Irwin Garza,MALE,14,Garza,Garza,(empty),Saturday,5,irwin@garza-family.zzz,sample_ecommerce,Bogotu00e1,South America,CO,"{
  ""coordinates"": [
    -74.1,
    4.6
  ],
  ""type"": ""Point""
}",Bogota D.C.,"Elitelligence, Low Tide Media","Elitelligence, Low Tide Media","Sep 25, 2021 @ 00:47:02.000",572348,"sold_product_572348_12280, sold_product_572348_1234","sold_product_572348_12280, sold_product_572348_1234","$22.98, $50.00","$22.98, $50.00","Men's Clothing, Men's Shoes","Men's Clothing, Men's Shoes","Dec 16, 2016 @ 23:47:02.000, Dec 16, 2016 @ 23:47:02.000","0, 0","0, 0","Elitelligence, Low Tide Media","Elitelligence, Low Tide Media","$11.72, $25.48","$22.98, $50.00","12,280, 1,234","Sweatshirt - black, Casual lace-ups - wood","Sweatshirt - black, Casual lace-ups - wood","1, 1","ZO0584705847, ZO0385303853","0, 0","$22.98, $50.00","$22.98, $50.00","0, 0","ZO0584705847, ZO0385303853",$73 ,$73.00 ,2,2,order,irwin
Women's Clothing,Women's Clothing,EUR,Wilhemina St.,Wilhemina St.,Wilhemina St. Daniels,Wilhemina St. Daniels,FEMALE,17,Daniels,Daniels,(empty),Saturday,5,wilhemina st.@daniels-family.zzz,sample_ecommerce,Monte Carlo,Europe,MC,"{
  ""coordinates"": [
    7.4,
    43.7
  ],
  ""type"": ""Point""
}",-,"Gnomehouse, Pyramidustries","Gnomehouse, Pyramidustries","Sep 25, 2021 @ 00:34:05.000",572337,"sold_product_572337_21332, sold_product_572337_18381","sold_product_572337_21332, sold_product_572337_18381","$60.00, $17.98","$60.00, $17.98","Women's Clothing, Women's Clothing","Women's Clothing, Women's Clothing","Dec 16, 2016 @ 23:34:05.000, Dec 16, 2016 @ 23:34:05.000","0, 0","0, 0","Gnomehouse, Pyramidustries","Gnomehouse, Pyramidustries","$30.59, $8.99","$60.00, $17.98","21,332, 18,381","Summer dress - potent purple, Long sleeved top - black","Summer dress - potent purple, Long sleeved top - black","1, 1","ZO0335203352, ZO0159201592","0, 0","$60.00, $17.98","$60.00, $17.98","0, 0","ZO0335203352, ZO0159201592",$78 ,$78.00 ,2,2,order,wilhemina
"Women's Clothing, Women's Accessories","Women's Clothing, Women's Accessories",EUR,Wilhemina St.,Wilhemina St.,Wilhemina St. Graham,Wilhemina St. Graham,FEMALE,17,Graham,Graham,(empty),Saturday,5,wilhemina st.@graham-family.zzz,sample_ecommerce,Monte Carlo,Europe,MC,"{
  ""coordinates"": [
    7.4,
    43.7
  ],
  ""type"": ""Point""
}",-,"Pyramidustries, Tigress Enterprises, Spherecords","Pyramidustries, Tigress Enterprises, Spherecords","Sep 25, 2021 @ 00:18:14.000",733207,"sold_product_733207_17673, sold_product_733207_14405, sold_product_733207_13631, sold_product_733207_24421","sold_product_733207_17673, sold_product_733207_14405, sold_product_733207_13631, sold_product_733207_24421","$28.98, $28.98, $13.99, $10.99","$28.98, $28.98, $13.99, $10.99","Women's Clothing, Women's Clothing, Women's Accessories, Women's Clothing","Women's Clothing, Women's Clothing, Women's Accessories, Women's Clothing","Dec 16, 2016 @ 23:18:14.000, Dec 16, 2016 @ 23:18:14.000, Dec 16, 2016 @ 23:18:14.000, Dec 16, 2016 @ 23:18:14.000","0, 0, 0, 0","0, 0, 0, 0","Pyramidustries, Tigress Enterprises, Pyramidustries, Spherecords","Pyramidustries, Tigress Enterprises, Pyramidustries, Spherecords","$13.63, $15.94, $6.86, $5.39","$28.98, $28.98, $13.99, $10.99","17,673, 14,405, 13,631, 24,421","Jumpsuit - black, Jumper - black/winter white, Across body bag - off white, Long sleeved top - khaki","Jumpsuit - black, Jumper - black/winter white, Across body bag - off white, Long sleeved top - khaki","1, 1, 1, 1","ZO0146901469, ZO0072200722, ZO0201302013, ZO0639606396","0, 0, 0, 0","$28.98, $28.98, $13.99, $10.99","$28.98, $28.98, $13.99, $10.99","0, 0, 0, 0","ZO0146901469, ZO0072200722, ZO0201302013, ZO0639606396",$82.94 ,$82.94 ,4,4,order,wilhemina
Women's Clothing,Women's Clothing,EUR,Elyssa,Elyssa,Elyssa Burton,Elyssa Burton,FEMALE,27,Burton,Burton,(empty),Saturday,5,elyssa@burton-family.zzz,sample_ecommerce,New York,North America,US,"{
  ""coordinates"": [
    -74,
    40.8
  ],
  ""type"": ""Point""
}",New York,"Champion Arts, Tigress Enterprises","Champion Arts, Tigress Enterprises","Sep 25, 2021 @ 00:12:29.000",572323,"sold_product_572323_24572, sold_product_572323_12810","sold_product_572323_24572, sold_product_572323_12810","$24.98, $29.98","$24.98, $29.98","Women's Clothing, Women's Clothing","Women's Clothing, Women's Clothing","Dec 16, 2016 @ 23:12:29.000, Dec 16, 2016 @ 23:12:29.000","0, 0","0, 0","Champion Arts, Tigress Enterprises","Champion Arts, Tigress Enterprises","$12.25, $13.80","$24.98, $29.98","24,572, 12,810","Sweatshirt - light grey multicolor, Jersey dress - bordeaux","Sweatshirt - light grey multicolor, Jersey dress - bordeaux","1, 1","ZO0502005020, ZO0039300393","0, 0","$24.98, $29.98","$24.98, $29.98","0, 0","ZO0502005020, ZO0039300393",$54.97 ,$54.97 ,2,2,order,elyssa
"Men's Shoes, Men's Clothing","Men's Shoes, Men's Clothing",EUR,Marwan,Marwan,Marwan Bryant,Marwan Bryant,MALE,51,Bryant,Bryant,(empty),Saturday,5,marwan@bryant-family.zzz,sample_ecommerce,Marrakesh,Africa,MA,"{
  ""coordinates"": [
    -8,
    31.6
  ],
  ""type"": ""Point""
}",Marrakech-Tensift-Al Haouz,"Low Tide Media, Elitelligence","Low Tide Media, Elitelligence","Sep 25, 2021 @ 00:06:43.000",572317,"sold_product_572317_15558, sold_product_572317_20647","sold_product_572317_15558, sold_product_572317_20647","$60.00, $24.98","$60.00, $24.98","Men's Shoes, Men's Clothing","Men's Shoes, Men's Clothing","Dec 16, 2016 @ 23:06:43.000, Dec 16, 2016 @ 23:06:43.000","0, 0","0, 0","Low Tide Media, Elitelligence","Low Tide Media, Elitelligence","$27.02, $13.24","$60.00, $24.98","15,558, 20,647","Lace-ups - Midnight Blue, Jumper - black","Lace-ups - Midnight Blue, Jumper - black","1, 1","ZO0391903919, ZO0575805758","0, 0","$60.00, $24.98","$60.00, $24.98","0, 0","ZO0391903919, ZO0575805758",$85 ,$85.00 ,2,2,order,marwan
"Men's Clothing, Women's Accessories","Men's Clothing, Women's Accessories",EUR,Robert,Robert,Robert Perry,Robert Perry,MALE,29,Perry,Perry,(empty),Saturday,5,robert@perry-family.zzz,sample_ecommerce,-,Asia,SA,"{
  ""coordinates"": [
    45,
    25
  ],
  ""type"": ""Point""
}",-,"Oceanavigations, Microlutions","Oceanavigations, Microlutions","Sep 24, 2021 @ 23:59:31.000",572310,"sold_product_572310_20428, sold_product_572310_13741","sold_product_572310_20428, sold_product_572310_13741","$28.98, $34.00","$28.98, $34.00","Men's Clothing, Women's Accessories","Men's Clothing, Women's Accessories","Dec 16, 2016 @ 22:59:31.000, Dec 16, 2016 @ 22:59:31.000","0, 0","0, 0","Oceanavigations, Microlutions","Oceanavigations, Microlutions","$15.65, $17.02","$28.98, $34.00","20,428, 13,741","Jumper - navy, Rucksack - black","Jumper - navy, Rucksack - black","1, 1","ZO0298702987, ZO0127601276","0, 0","$28.98, $34.00","$28.98, $34.00","0, 0","ZO0298702987, ZO0127601276",$62.97 ,$62.97 ,2,2,order,robert
Women's Clothing,Women's Clothing,EUR,Selena,Selena,Selena Frank,Selena Frank,FEMALE,42,Frank,Frank,(empty),Saturday,5,selena@frank-family.zzz,sample_ecommerce,Marrakesh,Africa,MA,"{
  ""coordinates"": [
    -8,
    31.6
  ],
  ""type"": ""Point""
}",Marrakech-Tensift-Al Haouz,"Tigress Enterprises, Spherecords Maternity","Tigress Enterprises, Spherecords Maternity","Sep 24, 2021 @ 23:53:46.000",572302,"sold_product_572302_13747, sold_product_572302_22681","sold_product_572302_13747, sold_product_572302_22681","$28.98, $21.98","$28.98, $21.98","Women's Clothing, Women's Clothing","Women's Clothing, Women's Clothing","Dec 16, 2016 @ 22:53:46.000, Dec 16, 2016 @ 22:53:46.000","0, 0","0, 0","Tigress Enterprises, Spherecords Maternity","Tigress Enterprises, Spherecords Maternity","$15.07, $11.21","$28.98, $21.98","13,747, 22,681","Jersey dress - black, Jumper - black","Jersey dress - black, Jumper - black","1, 1","ZO0037400374, ZO0708207082","0, 0","$28.98, $21.98","$28.98, $21.98","0, 0","ZO0037400374, ZO0708207082",$50.97 ,$50.97 ,2,2,order,selena
